FedBalancer | INFO flower 2022-05-18 13:27:43,976 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-18 13:27:43,976 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-18 13:27:43,976 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 13:29:13,739 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:29:13,739 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7feb884793d0>
FedBalancer | INFO flower 2022-05-18 13:29:32,014 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 13:29:32,015 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-18 13:29:32,760 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-18 13:29:34,163 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:29:34,163 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-18 13:29:34,276 | server.py:750 | Device_id 2
FedBalancer | INFO flower 2022-05-18 13:29:34,276 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-18 13:29:34,276 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-18 13:29:34,276 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:30:34,719 | server.py:237 | client_id,2
FedBalancer | INFO flower 2022-05-18 13:30:34,719 | server.py:238 | download_times,[14.295]
FedBalancer | INFO flower 2022-05-18 13:30:34,719 | server.py:239 | upload_times,[16.286]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | server.py:240 | per_epoch_train_times,[3.219]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | server.py:241 | per_batch_train_times,[0.092]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | server.py:242 | inference_times,[13.742]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | server.py:243 | round_completion_times,[60.438]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | server.py:244 | networking_times,[30.603]
FedBalancer | INFO flower 2022-05-18 13:30:34,720 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:31:30,688 | server.py:237 | client_id,2
FedBalancer | INFO flower 2022-05-18 13:31:30,688 | server.py:238 | download_times,[14.295, 14.247]
FedBalancer | INFO flower 2022-05-18 13:31:30,688 | server.py:239 | upload_times,[16.286, 11.77]
FedBalancer | INFO flower 2022-05-18 13:31:30,688 | server.py:240 | per_epoch_train_times,[3.219, 3.253]
FedBalancer | INFO flower 2022-05-18 13:31:30,689 | server.py:241 | per_batch_train_times,[0.092, 0.093]
FedBalancer | INFO flower 2022-05-18 13:31:30,689 | server.py:242 | inference_times,[13.742, 13.671]
FedBalancer | INFO flower 2022-05-18 13:31:30,689 | server.py:243 | round_completion_times,[60.438, 55.967]
FedBalancer | INFO flower 2022-05-18 13:31:30,689 | server.py:244 | networking_times,[30.603, 26.032]
FedBalancer | INFO flower 2022-05-18 13:31:30,689 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:32:16,207 | server.py:237 | client_id,2
FedBalancer | INFO flower 2022-05-18 13:32:16,207 | server.py:238 | download_times,[14.295, 14.247, 5.109]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:239 | upload_times,[16.286, 11.77, 10.581]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:240 | per_epoch_train_times,[3.219, 3.253, 3.198]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:241 | per_batch_train_times,[0.092, 0.093, 0.091]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:242 | inference_times,[13.742, 13.671, 13.822]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:243 | round_completion_times,[60.438, 55.967, 45.517]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | server.py:244 | networking_times,[30.603, 26.032, 15.705]
FedBalancer | INFO flower 2022-05-18 13:32:16,208 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:33:16,798 | server.py:237 | client_id,2
FedBalancer | INFO flower 2022-05-18 13:33:16,798 | server.py:238 | download_times,[14.295, 14.247, 5.109, 15.326]
FedBalancer | INFO flower 2022-05-18 13:33:16,798 | server.py:239 | upload_times,[16.286, 11.77, 10.581, 15.427]
FedBalancer | INFO flower 2022-05-18 13:33:16,798 | server.py:240 | per_epoch_train_times,[3.219, 3.253, 3.198, 3.192]
FedBalancer | INFO flower 2022-05-18 13:33:16,799 | server.py:241 | per_batch_train_times,[0.092, 0.093, 0.091, 0.091]
FedBalancer | INFO flower 2022-05-18 13:33:16,799 | server.py:242 | inference_times,[13.742, 13.671, 13.822, 13.855]
FedBalancer | INFO flower 2022-05-18 13:33:16,799 | server.py:243 | round_completion_times,[60.438, 55.967, 45.517, 60.588]
FedBalancer | INFO flower 2022-05-18 13:33:16,799 | server.py:244 | networking_times,[30.603, 26.032, 15.705, 30.771]
FedBalancer | INFO flower 2022-05-18 13:33:16,799 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:34:19,078 | server.py:237 | client_id,2
FedBalancer | INFO flower 2022-05-18 13:34:19,078 | server.py:238 | download_times,[14.295, 14.247, 5.109, 15.326, 17.331]
FedBalancer | INFO flower 2022-05-18 13:34:19,078 | server.py:239 | upload_times,[16.286, 11.77, 10.581, 15.427, 15.166]
FedBalancer | INFO flower 2022-05-18 13:34:19,079 | server.py:240 | per_epoch_train_times,[3.219, 3.253, 3.198, 3.192, 3.188]
