FedBalancer | INFO flower 2022-05-18 13:27:44,163 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-18 13:27:44,164 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-18 13:27:44,164 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 13:28:56,799 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:28:56,799 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7f00885f92d0>
FedBalancer | INFO flower 2022-05-18 13:29:02,150 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-18 13:29:02,150 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-18 13:29:02,982 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-18 13:29:04,436 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:29:04,436 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-18 13:29:04,521 | server.py:750 | Device_id 21
FedBalancer | INFO flower 2022-05-18 13:29:04,521 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-18 13:29:04,521 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-18 13:29:04,521 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:30:17,204 | server.py:237 | client_id,21
FedBalancer | INFO flower 2022-05-18 13:30:17,204 | server.py:238 | download_times,[34.03]
FedBalancer | INFO flower 2022-05-18 13:30:17,204 | server.py:239 | upload_times,[6.227]
FedBalancer | INFO flower 2022-05-18 13:30:17,204 | server.py:240 | per_epoch_train_times,[3.964]
FedBalancer | INFO flower 2022-05-18 13:30:17,204 | server.py:241 | per_batch_train_times,[0.102]
FedBalancer | INFO flower 2022-05-18 13:30:17,205 | server.py:242 | inference_times,[12.579]
FedBalancer | INFO flower 2022-05-18 13:30:17,205 | server.py:243 | round_completion_times,[72.678]
FedBalancer | INFO flower 2022-05-18 13:30:17,205 | server.py:244 | networking_times,[40.279]
FedBalancer | INFO flower 2022-05-18 13:30:17,205 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 13:31:50,955 | server.py:237 | client_id,21
FedBalancer | INFO flower 2022-05-18 13:31:50,955 | server.py:238 | download_times,[34.03, 52.461]
FedBalancer | INFO flower 2022-05-18 13:31:50,956 | server.py:239 | upload_times,[6.227, 8.944]
FedBalancer | INFO flower 2022-05-18 13:31:50,956 | server.py:240 | per_epoch_train_times,[3.964, 3.959]
FedBalancer | INFO flower 2022-05-18 13:31:50,956 | server.py:241 | per_batch_train_times,[0.102, 0.102]
FedBalancer | INFO flower 2022-05-18 13:31:50,956 | server.py:242 | inference_times,[12.579, 12.534]
