FedBalancer | INFO flower 2022-05-17 19:29:27,516 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-17 19:29:27,516 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-17 19:29:27,516 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:29:49,029 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:29:49,030 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7fea280793d0>
FedBalancer | INFO flower 2022-05-17 19:29:49,592 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:29:49,592 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-17 19:29:50,355 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-17 19:29:51,954 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:29:51,955 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-17 19:29:52,065 | server.py:750 | Device_id 18
FedBalancer | INFO flower 2022-05-17 19:29:52,065 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-17 19:29:52,065 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-17 19:29:52,066 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:04,059 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:238 | download_times,[3.454]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:239 | upload_times,[0.559]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:240 | per_epoch_train_times,[0.946]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:241 | per_batch_train_times,[0.025]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:242 | inference_times,[3.238]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:243 | round_completion_times,[11.988]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | server.py:244 | networking_times,[4.022]
FedBalancer | INFO flower 2022-05-17 19:30:04,060 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:20,130 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:30:20,130 | server.py:238 | download_times,[3.454, 7.255]
FedBalancer | INFO flower 2022-05-17 19:30:20,130 | server.py:239 | upload_times,[0.559, 0.938]
FedBalancer | INFO flower 2022-05-17 19:30:20,130 | server.py:240 | per_epoch_train_times,[0.946, 0.93]
FedBalancer | INFO flower 2022-05-17 19:30:20,131 | server.py:241 | per_batch_train_times,[0.025, 0.024]
FedBalancer | INFO flower 2022-05-17 19:30:20,131 | server.py:242 | inference_times,[3.238, 3.214]
FedBalancer | INFO flower 2022-05-17 19:30:20,131 | server.py:243 | round_completion_times,[11.988, 16.069]
FedBalancer | INFO flower 2022-05-17 19:30:20,131 | server.py:244 | networking_times,[4.022, 8.205]
FedBalancer | INFO flower 2022-05-17 19:30:20,131 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:238 | download_times,[3.454, 7.255, 7.876]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:239 | upload_times,[0.559, 0.938, 0.56]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:240 | per_epoch_train_times,[0.946, 0.93, 0.947]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:241 | per_batch_train_times,[0.025, 0.024, 0.025]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:242 | inference_times,[3.238, 3.214, 3.247]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:243 | round_completion_times,[11.988, 16.069, 16.434]
FedBalancer | INFO flower 2022-05-17 19:30:36,566 | server.py:244 | networking_times,[4.022, 8.205, 8.45]
FedBalancer | INFO flower 2022-05-17 19:30:36,567 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:57,342 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:238 | download_times,[3.454, 7.255, 7.876, 12.942]
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:239 | upload_times,[0.559, 0.938, 0.56, 0.108]
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:240 | per_epoch_train_times,[0.946, 0.93, 0.947, 0.9]
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:241 | per_batch_train_times,[0.025, 0.024, 0.025, 0.024]
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:242 | inference_times,[3.238, 3.214, 3.247, 3.213]
FedBalancer | INFO flower 2022-05-17 19:30:57,343 | server.py:243 | round_completion_times,[11.988, 16.069, 16.434, 20.775]
FedBalancer | INFO flower 2022-05-17 19:30:57,344 | server.py:244 | networking_times,[4.022, 8.205, 8.45, 13.063]
FedBalancer | INFO flower 2022-05-17 19:30:57,344 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:31:07,461 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:31:07,461 | server.py:238 | download_times,[3.454, 7.255, 7.876, 12.942, 2.018]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:239 | upload_times,[0.559, 0.938, 0.56, 0.108, 0.263]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:240 | per_epoch_train_times,[0.946, 0.93, 0.947, 0.9, 0.922]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:241 | per_batch_train_times,[0.025, 0.024, 0.025, 0.024, 0.024]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:242 | inference_times,[3.238, 3.214, 3.247, 3.213, 3.214]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:243 | round_completion_times,[11.988, 16.069, 16.434, 20.775, 10.116]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | server.py:244 | networking_times,[4.022, 8.205, 8.45, 13.063, 2.292]
FedBalancer | INFO flower 2022-05-17 19:31:07,462 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:31:21,356 | server.py:237 | client_id,18
FedBalancer | INFO flower 2022-05-17 19:31:21,356 | server.py:238 | download_times,[3.454, 7.255, 7.876, 12.942, 2.018, 5.05]
