FedBalancer | INFO flower 2022-05-17 19:32:31,715 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:238 | download_times,[5.282, 11.935, 7.781, 5.954, 4.295, 9.382]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:239 | upload_times,[0, 0, 2.447, 0, 0, 0]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:240 | per_epoch_train_times,[2.964, 2.987, 2.873, 2.911, 2.924, 3.0]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:241 | per_batch_train_times,[0.09, 0.091, 0.087, 0.088, 0.089, 0.091]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:242 | inference_times,[5.847, 5.775, 5.834, 5.747, 5.98, 5.858]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:243 | round_completion_times,[25.711, 32.615, 30.471, 25.124, 23.587, 28.879]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | server.py:244 | networking_times,[5.043, 11.904, 10.273, 4.823, 2.987, 8.021]
FedBalancer | INFO flower 2022-05-17 19:33:00,595 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:237 | client_id,8
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:238 | download_times,[5.282, 11.935, 7.781, 5.954, 4.295, 9.382, 4.169]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:239 | upload_times,[0, 0, 2.447, 0, 0, 0, 0]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:240 | per_epoch_train_times,[2.964, 2.987, 2.873, 2.911, 2.924, 3.0, 2.81]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:241 | per_batch_train_times,[0.09, 0.091, 0.087, 0.088, 0.089, 0.091, 0.085]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:242 | inference_times,[5.847, 5.775, 5.834, 5.747, 5.98, 5.858, 5.663]
FedBalancer | INFO flower 2022-05-17 19:33:23,232 | server.py:243 | round_completion_times,[25.711, 32.615, 30.471, 25.124, 23.587, 28.879, 22.636]
