FedBalancer | INFO flower 2022-05-17 19:29:27,402 | app.py:114 | Flower server running (1000 rounds), SSL is disabled
FedBalancer | INFO flower 2022-05-17 19:29:27,403 | server.py:124 | Initializing global parameters
FedBalancer | INFO flower 2022-05-17 19:29:27,403 | server.py:670 | Requesting initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:30:03,945 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:03,945 | server.py:672 | <flwr.server.grpc_server.grpc_client_proxy.GrpcClientProxy object at 0x7f38c4339290>
FedBalancer | INFO flower 2022-05-17 19:30:04,807 | server.py:674 | Received initial parameters from one random client
FedBalancer | INFO flower 2022-05-17 19:30:04,807 | server.py:126 | Evaluating initial parameters
FedBalancer | INFO flower 2022-05-17 19:30:05,606 | server.py:133 | initial parameters (loss, other metrics): 1.7820651531219482, {'accuracy': 0.25822871923446655}
FedBalancer | INFO flower 2022-05-17 19:30:07,146 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:07,146 | server.py:745 | Requesting device info from all clients
FedBalancer | INFO flower 2022-05-17 19:30:07,244 | server.py:750 | Device_id 17
FedBalancer | INFO flower 2022-05-17 19:30:07,245 | server.py:751 | Received device info from all clients
FedBalancer | INFO flower 2022-05-17 19:30:07,245 | server.py:165 | Requesting latency sampling over all clients (1 clients currently)
FedBalancer | INFO flower 2022-05-17 19:30:07,245 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-17 19:30:25,352 | server.py:237 | client_id,17
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:238 | download_times,[7.084]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:239 | upload_times,[0.167]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:240 | per_epoch_train_times,[1.346]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:241 | per_batch_train_times,[0.034]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:242 | inference_times,[4.11]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:243 | round_completion_times,[18.105]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | server.py:244 | networking_times,[7.264]
FedBalancer | INFO flower 2022-05-17 19:30:25,353 | client_manager.py:156 | Alive clients count: 1
