FedBalancer | INFO flower 2022-05-18 19:16:40,671 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:17:00,032 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:17:00,033 | server.py:238 | download_times,[7.663, 5.528, 7.377, 17.998, 10.284, 10.345]
FedBalancer | INFO flower 2022-05-18 19:17:00,033 | server.py:239 | upload_times,[0.733, 0.589, 0.767, 0.28, 0.588, 0.581]
FedBalancer | INFO flower 2022-05-18 19:17:00,033 | server.py:240 | per_epoch_train_times,[0.973, 0.963, 0.964, 0.963, 0.967, 0.965]
FedBalancer | INFO flower 2022-05-18 19:17:00,033 | server.py:241 | per_batch_train_times,[0.026, 0.025, 0.025, 0.025, 0.025, 0.025]
FedBalancer | INFO flower 2022-05-18 19:17:00,033 | server.py:242 | inference_times,[3.61, 3.591, 3.607, 3.61, 3.592, 3.601]
FedBalancer | INFO flower 2022-05-18 19:17:00,034 | server.py:243 | round_completion_times,[16.886, 14.531, 16.58, 26.709, 19.309, 19.36]
FedBalancer | INFO flower 2022-05-18 19:17:00,034 | server.py:244 | networking_times,[8.411, 6.126, 8.152, 18.286, 10.88, 10.935]
FedBalancer | INFO flower 2022-05-18 19:17:00,034 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:17:17,188 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:17:17,188 | server.py:238 | download_times,[7.663, 5.528, 7.377, 17.998, 10.284, 10.345, 8.135]
FedBalancer | INFO flower 2022-05-18 19:17:17,188 | server.py:239 | upload_times,[0.733, 0.589, 0.767, 0.28, 0.588, 0.581, 0.615]
FedBalancer | INFO flower 2022-05-18 19:17:17,188 | server.py:240 | per_epoch_train_times,[0.973, 0.963, 0.964, 0.963, 0.967, 0.965, 0.962]
FedBalancer | INFO flower 2022-05-18 19:17:17,188 | server.py:241 | per_batch_train_times,[0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]
FedBalancer | INFO flower 2022-05-18 19:17:17,189 | server.py:242 | inference_times,[3.61, 3.591, 3.607, 3.61, 3.592, 3.601, 3.585]
FedBalancer | INFO flower 2022-05-18 19:17:17,189 | server.py:243 | round_completion_times,[16.886, 14.531, 16.58, 26.709, 19.309, 19.36, 17.153]
FedBalancer | INFO flower 2022-05-18 19:17:17,189 | server.py:244 | networking_times,[8.411, 6.126, 8.152, 18.286, 10.88, 10.935, 8.76]
FedBalancer | INFO flower 2022-05-18 19:17:17,189 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:17:32,449 | server.py:237 | client_id,15
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:238 | download_times,[7.663, 5.528, 7.377, 17.998, 10.284, 10.345, 8.135, 6.386]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:239 | upload_times,[0.733, 0.589, 0.767, 0.28, 0.588, 0.581, 0.615, 0.436]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:240 | per_epoch_train_times,[0.973, 0.963, 0.964, 0.963, 0.967, 0.965, 0.962, 0.964]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:241 | per_batch_train_times,[0.026, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025, 0.025]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:242 | inference_times,[3.61, 3.591, 3.607, 3.61, 3.592, 3.601, 3.585, 3.609]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:243 | round_completion_times,[16.886, 14.531, 16.58, 26.709, 19.309, 19.36, 17.153, 15.259]
FedBalancer | INFO flower 2022-05-18 19:17:32,450 | server.py:244 | networking_times,[8.411, 6.126, 8.152, 18.286, 10.88, 10.935, 8.76, 6.831]
FedBalancer | INFO flower 2022-05-18 19:17:32,451 | client_manager.py:156 | Alive clients count: 1
FedBalancer | INFO flower 2022-05-18 19:17:50,425 | server.py:237 | client_id,15
